Wavelength	Sensitivity
0.995	0.0
0.9951	0.0
0.9952	0.0
0.9953	2.82387e+13
0.9954	2.84663e+13
0.9955	2.86952e+13
0.9956	2.89254e+13
0.9957	2.91569e+13
0.9958	2.93898e+13
0.9959	2.9624e+13
0.996	2.98594e+13
0.9961	3.00874e+13
0.9962	3.03073e+13
0.9963	3.05277e+13
0.9964	3.07488e+13
0.9965	3.09703e+13
0.9966	3.11925e+13
0.9967	3.14152e+13
0.9968	3.16385e+13
0.9969	3.18623e+13
0.997	3.20867e+13
0.9971	3.23116e+13
0.9972	3.25372e+13
0.9973	3.27633e+13
0.9974	3.29899e+13
0.9975	3.32171e+13
0.9976	3.34449e+13
0.9977	3.36733e+13
0.9978	3.39022e+13
0.9979	3.41316e+13
0.998	3.43617e+13
0.9981	3.45923e+13
0.9982	3.48234e+13
0.9983	3.50552e+13
0.9984	3.52875e+13
0.9985	3.55203e+13
0.9986	3.57537e+13
0.9987	3.59877e+13
0.9988	3.62223e+13
0.9989	3.64574e+13
0.999	3.6693e+13
0.9991	3.69293e+13
0.9992	3.71661e+13
0.9993	3.74035e+13
0.9994	3.76414e+13
0.9995	3.78799e+13
0.9996	3.81189e+13
0.9997	3.83586e+13
0.9998	3.85987e+13
0.9999	3.88395e+13
1.0	3.90808e+13
1.0001	3.93227e+13
1.0002	3.95651e+13
1.0003	3.98081e+13
1.0004	4.00517e+13
1.0005	4.02958e+13
1.0006	4.05405e+13
1.0007	4.07858e+13
1.0008	4.09873e+13
1.0009	4.11876e+13
1.001	4.13865e+13
1.0011	4.15841e+13
1.0012	4.17805e+13
1.0013	4.19755e+13
1.0014	4.21692e+13
1.0015	4.23616e+13
1.0016	4.25528e+13
1.0017	4.27426e+13
1.0018	4.29311e+13
1.0019	4.31183e+13
1.002	4.33042e+13
1.0021	4.34889e+13
1.0022	4.36722e+13
1.0023	4.38542e+13
1.0024	4.40349e+13
1.0025	4.42143e+13
1.0026	4.43924e+13
1.0027	4.45693e+13
1.0028	4.47448e+13
1.0029	4.4919e+13
1.003	4.50919e+13
1.0031	4.52635e+13
1.0032	4.54338e+13
1.0033	4.56028e+13
1.0034	4.57705e+13
1.0035	4.59369e+13
1.0036	4.6102e+13
1.0037	4.62658e+13
1.0038	4.64283e+13
1.0039	4.65895e+13
1.004	4.67494e+13
1.0041	4.6908e+13
1.0042	4.70653e+13
1.0043	4.72213e+13
1.0044	4.7376e+13
1.0045	4.75294e+13
1.0046	4.76815e+13
1.0047	4.78323e+13
1.0048	4.79818e+13
1.0049	4.813e+13
1.005	4.82769e+13
1.0051	4.84224e+13
1.0052	4.85667e+13
1.0053	4.87097e+13
1.0054	4.88447e+13
1.0055	4.89714e+13
1.0056	4.90961e+13
1.0057	4.9219e+13
1.0058	4.934e+13
1.0059	4.94592e+13
1.006	4.95765e+13
1.0061	4.96919e+13
1.0062	4.98055e+13
1.0063	4.99171e+13
1.0064	5.0027e+13
1.0065	5.01349e+13
1.0066	5.0241e+13
1.0067	5.03452e+13
1.0068	5.04475e+13
1.0069	5.0548e+13
1.007	5.06466e+13
1.0071	5.07434e+13
1.0072	5.08382e+13
1.0073	5.09312e+13
1.0074	5.10224e+13
1.0075	5.11116e+13
1.0076	5.1199e+13
1.0077	5.12845e+13
1.0078	5.13682e+13
1.0079	5.145e+13
1.008	5.15299e+13
1.0081	5.1608e+13
1.0082	5.16842e+13
1.0083	5.17585e+13
1.0084	5.18309e+13
1.0085	5.19015e+13
1.0086	5.19702e+13
1.0087	5.20371e+13
1.0088	5.21021e+13
1.0089	5.21652e+13
1.009	5.22264e+13
1.0091	5.22858e+13
1.0092	5.23433e+13
1.0093	5.23989e+13
1.0094	5.24527e+13
1.0095	5.25046e+13
1.0096	5.25546e+13
1.0097	5.26028e+13
1.0098	5.26491e+13
1.0099	5.26935e+13
1.01	5.27361e+13
1.0101	5.28025e+13
1.0102	5.28681e+13
1.0103	5.29329e+13
1.0104	5.2997e+13
1.0105	5.30603e+13
1.0106	5.31228e+13
1.0107	5.31845e+13
1.0108	5.32454e+13
1.0109	5.33055e+13
1.011	5.33649e+13
1.0111	5.34234e+13
1.0112	5.34812e+13
1.0113	5.35382e+13
1.0114	5.35944e+13
1.0115	5.36498e+13
1.0116	5.37045e+13
1.0117	5.37583e+13
1.0118	5.38114e+13
1.0119	5.38637e+13
1.012	5.39152e+13
1.0121	5.39659e+13
1.0122	5.40158e+13
1.0123	5.4065e+13
1.0124	5.41133e+13
1.0125	5.41609e+13
1.0126	5.42077e+13
1.0127	5.42537e+13
1.0128	5.42989e+13
1.0129	5.43433e+13
1.013	5.4387e+13
1.0131	5.44298e+13
1.0132	5.44719e+13
1.0133	5.45132e+13
1.0134	5.45537e+13
1.0135	5.45934e+13
1.0136	5.46324e+13
1.0137	5.46705e+13
1.0138	5.47079e+13
1.0139	5.47445e+13
1.014	5.47803e+13
1.0141	5.48153e+13
1.0142	5.48495e+13
1.0143	5.48829e+13
1.0144	5.49156e+13
1.0145	5.49475e+13
1.0146	5.49785e+13
1.0147	5.5047e+13
1.0148	5.51553e+13
1.0149	5.52661e+13
1.015	5.53794e+13
1.0151	5.54951e+13
1.0152	5.56132e+13
1.0153	5.57339e+13
1.0154	5.5857e+13
1.0155	5.59826e+13
1.0156	5.61106e+13
1.0157	5.62411e+13
1.0158	5.6374e+13
1.0159	5.65095e+13
1.016	5.66474e+13
1.0161	5.67877e+13
1.0162	5.69305e+13
1.0163	5.70758e+13
1.0164	5.72236e+13
1.0165	5.73738e+13
1.0166	5.75264e+13
1.0167	5.76816e+13
1.0168	5.78392e+13
1.0169	5.79993e+13
1.017	5.81618e+13
1.0171	5.83268e+13
1.0172	5.84943e+13
1.0173	5.86642e+13
1.0174	5.88366e+13
1.0175	5.90114e+13
1.0176	5.91888e+13
1.0177	5.93685e+13
1.0178	5.95508e+13
1.0179	5.97355e+13
1.018	5.99227e+13
1.0181	6.01123e+13
1.0182	6.03044e+13
1.0183	6.0499e+13
1.0184	6.0696e+13
1.0185	6.08955e+13
1.0186	6.10975e+13
1.0187	6.13019e+13
1.0188	6.15088e+13
1.0189	6.17182e+13
1.019	6.193e+13
1.0191	6.21443e+13
1.0192	6.2361e+13
1.0193	6.25803e+13
1.0194	6.28774e+13
1.0195	6.31801e+13
1.0196	6.34885e+13
1.0197	6.38025e+13
1.0198	6.41222e+13
1.0199	6.44475e+13
1.02	6.47785e+13
1.0201	6.51151e+13
1.0202	6.54573e+13
1.0203	6.58052e+13
1.0204	6.61587e+13
1.0205	6.65178e+13
1.0206	6.68826e+13
1.0207	6.7253e+13
1.0208	6.76291e+13
1.0209	6.80108e+13
1.021	6.83982e+13
1.0211	6.87912e+13
1.0212	6.91898e+13
1.0213	6.95941e+13
1.0214	7.0004e+13
1.0215	7.04196e+13
1.0216	7.08408e+13
1.0217	7.12676e+13
1.0218	7.17001e+13
1.0219	7.21382e+13
1.022	7.2582e+13
1.0221	7.30314e+13
1.0222	7.34864e+13
1.0223	7.39471e+13
1.0224	7.44134e+13
1.0225	7.48854e+13
1.0226	7.5363e+13
1.0227	7.58462e+13
1.0228	7.63351e+13
1.0229	7.68296e+13
1.023	7.73298e+13
1.0231	7.78356e+13
1.0232	7.8347e+13
1.0233	7.88641e+13
1.0234	7.93868e+13
1.0235	7.99152e+13
1.0236	8.04492e+13
1.0237	8.09888e+13
1.0238	8.15341e+13
1.0239	8.20851e+13
1.024	8.26298e+13
1.0241	8.31676e+13
1.0242	8.371e+13
1.0243	8.42571e+13
1.0244	8.48088e+13
1.0245	8.53652e+13
1.0246	8.59261e+13
1.0247	8.64917e+13
1.0248	8.7062e+13
1.0249	8.76369e+13
1.025	8.82164e+13
1.0251	8.88005e+13
1.0252	8.93893e+13
1.0253	8.99827e+13
1.0254	9.05808e+13
1.0255	9.11834e+13
1.0256	9.17908e+13
1.0257	9.24027e+13
1.0258	9.30193e+13
1.0259	9.36405e+13
1.026	9.42664e+13
1.0261	9.48968e+13
1.0262	9.5532e+13
1.0263	9.61717e+13
1.0264	9.68161e+13
1.0265	9.74651e+13
1.0266	9.81188e+13
1.0267	9.87771e+13
1.0268	9.944e+13
1.0269	1.00108e+14
1.027	1.0078e+14
1.0271	1.01457e+14
1.0272	1.02138e+14
1.0273	1.02824e+14
1.0274	1.03515e+14
1.0275	1.0421e+14
1.0276	1.0491e+14
1.0277	1.05615e+14
1.0278	1.06324e+14
1.0279	1.07038e+14
1.028	1.07757e+14
1.0281	1.0848e+14
1.0282	1.09208e+14
1.0283	1.0994e+14
1.0284	1.10677e+14
1.0285	1.11419e+14
1.0286	1.12165e+14
1.0287	1.12826e+14
1.0288	1.13488e+14
1.0289	1.14151e+14
1.029	1.14814e+14
1.0291	1.15479e+14
1.0292	1.16144e+14
1.0293	1.1681e+14
1.0294	1.17477e+14
1.0295	1.18144e+14
1.0296	1.18813e+14
1.0297	1.19483e+14
1.0298	1.20153e+14
1.0299	1.20824e+14
1.03	1.21496e+14
1.0301	1.22169e+14
1.0302	1.22842e+14
1.0303	1.23517e+14
1.0304	1.24192e+14
1.0305	1.24868e+14
1.0306	1.25546e+14
1.0307	1.26223e+14
1.0308	1.26902e+14
1.0309	1.27582e+14
1.031	1.28262e+14
1.0311	1.28943e+14
1.0312	1.29626e+14
1.0313	1.30309e+14
1.0314	1.30992e+14
1.0315	1.31677e+14
1.0316	1.32363e+14
1.0317	1.33049e+14
1.0318	1.33736e+14
1.0319	1.34424e+14
1.032	1.35113e+14
1.0321	1.35803e+14
1.0322	1.36493e+14
1.0323	1.37185e+14
1.0324	1.37877e+14
1.0325	1.3857e+14
1.0326	1.39264e+14
1.0327	1.39959e+14
1.0328	1.40655e+14
1.0329	1.41351e+14
1.033	1.42048e+14
1.0331	1.42747e+14
1.0332	1.43446e+14
1.0333	1.44123e+14
1.0334	1.44778e+14
1.0335	1.45432e+14
1.0336	1.46085e+14
1.0337	1.46737e+14
1.0338	1.47388e+14
1.0339	1.48038e+14
1.034	1.48687e+14
1.0341	1.49334e+14
1.0342	1.49981e+14
1.0343	1.50627e+14
1.0344	1.51271e+14
1.0345	1.51915e+14
1.0346	1.52557e+14
1.0347	1.53199e+14
1.0348	1.53839e+14
1.0349	1.54479e+14
1.035	1.55117e+14
1.0351	1.55754e+14
1.0352	1.56391e+14
1.0353	1.57026e+14
1.0354	1.5766e+14
1.0355	1.58293e+14
1.0356	1.58926e+14
1.0357	1.59557e+14
1.0358	1.60187e+14
1.0359	1.60816e+14
1.036	1.61444e+14
1.0361	1.62071e+14
1.0362	1.62696e+14
1.0363	1.63321e+14
1.0364	1.63945e+14
1.0365	1.64568e+14
1.0366	1.6519e+14
1.0367	1.6581e+14
1.0368	1.6643e+14
1.0369	1.67049e+14
1.037	1.67666e+14
1.0371	1.68283e+14
1.0372	1.68898e+14
1.0373	1.69513e+14
1.0374	1.70126e+14
1.0375	1.70739e+14
1.0376	1.7135e+14
1.0377	1.7196e+14
1.0378	1.72569e+14
1.0379	1.73178e+14
1.038	1.73895e+14
1.0381	1.74617e+14
1.0382	1.75341e+14
1.0383	1.7607e+14
1.0384	1.76802e+14
1.0385	1.77538e+14
1.0386	1.78277e+14
1.0387	1.7902e+14
1.0388	1.79767e+14
1.0389	1.80517e+14
1.039	1.81271e+14
1.0391	1.82028e+14
1.0392	1.82789e+14
1.0393	1.83554e+14
1.0394	1.84322e+14
1.0395	1.85094e+14
1.0396	1.85869e+14
1.0397	1.86648e+14
1.0398	1.87431e+14
1.0399	1.88217e+14
1.04	1.89007e+14
1.0401	1.89801e+14
1.0402	1.90598e+14
1.0403	1.91398e+14
1.0404	1.92203e+14
1.0405	1.93011e+14
1.0406	1.93822e+14
1.0407	1.94637e+14
1.0408	1.95456e+14
1.0409	1.96279e+14
1.041	1.97105e+14
1.0411	1.97934e+14
1.0412	1.98767e+14
1.0413	1.99604e+14
1.0414	2.00445e+14
1.0415	2.01289e+14
1.0416	2.02137e+14
1.0417	2.02988e+14
1.0418	2.03843e+14
1.0419	2.04701e+14
1.042	2.05563e+14
1.0421	2.06429e+14
1.0422	2.07299e+14
1.0423	2.08172e+14
1.0424	2.09048e+14
1.0425	2.09928e+14
1.0426	2.10968e+14
1.0427	2.12178e+14
1.0428	2.13404e+14
1.0429	2.14648e+14
1.043	2.15908e+14
1.0431	2.17185e+14
1.0432	2.18479e+14
1.0433	2.1979e+14
1.0434	2.21118e+14
1.0435	2.22463e+14
1.0436	2.23824e+14
1.0437	2.25203e+14
1.0438	2.26598e+14
1.0439	2.28011e+14
1.044	2.2944e+14
1.0441	2.30886e+14
1.0442	2.32349e+14
1.0443	2.33829e+14
1.0444	2.35326e+14
1.0445	2.36839e+14
1.0446	2.3837e+14
1.0447	2.39917e+14
1.0448	2.41482e+14
1.0449	2.43063e+14
1.045	2.44661e+14
1.0451	2.46276e+14
1.0452	2.47908e+14
1.0453	2.49557e+14
1.0454	2.51223e+14
1.0455	2.52906e+14
1.0456	2.54605e+14
1.0457	2.56322e+14
1.0458	2.58055e+14
1.0459	2.59805e+14
1.046	2.61572e+14
1.0461	2.63356e+14
1.0462	2.65157e+14
1.0463	2.66975e+14
1.0464	2.6881e+14
1.0465	2.70661e+14
1.0466	2.7253e+14
1.0467	2.74415e+14
1.0468	2.76318e+14
1.0469	2.78237e+14
1.047	2.80173e+14
1.0471	2.82126e+14
1.0472	2.84096e+14
1.0473	2.86169e+14
1.0474	2.88262e+14
1.0475	2.90375e+14
1.0476	2.92509e+14
1.0477	2.94664e+14
1.0478	2.96839e+14
1.0479	2.99035e+14
1.048	3.01251e+14
1.0481	3.03488e+14
1.0482	3.05745e+14
1.0483	3.08023e+14
1.0484	3.10321e+14
1.0485	3.1264e+14
1.0486	3.14979e+14
1.0487	3.17339e+14
1.0488	3.19719e+14
1.0489	3.2212e+14
1.049	3.24541e+14
1.0491	3.26983e+14
1.0492	3.29445e+14
1.0493	3.31928e+14
1.0494	3.34431e+14
1.0495	3.36955e+14
1.0496	3.395e+14
1.0497	3.42064e+14
1.0498	3.4465e+14
1.0499	3.47256e+14
1.05	3.49882e+14
1.0501	3.52529e+14
1.0502	3.55196e+14
1.0503	3.57884e+14
1.0504	3.60593e+14
1.0505	3.63322e+14
1.0506	3.66071e+14
1.0507	3.68841e+14
1.0508	3.71632e+14
1.0509	3.74443e+14
1.051	3.77274e+14
1.0511	3.80126e+14
1.0512	3.82999e+14
1.0513	3.85892e+14
1.0514	3.88805e+14
1.0515	3.91739e+14
1.0516	3.94694e+14
1.0517	3.97669e+14
1.0518	4.00664e+14
1.0519	4.03556e+14
1.052	4.06335e+14
1.0521	4.09124e+14
1.0522	4.11922e+14
1.0523	4.14731e+14
1.0524	4.17549e+14
1.0525	4.20378e+14
1.0526	4.23216e+14
1.0527	4.26064e+14
1.0528	4.28922e+14
1.0529	4.3179e+14
1.053	4.34668e+14
1.0531	4.37556e+14
1.0532	4.40454e+14
1.0533	4.43361e+14
1.0534	4.46279e+14
1.0535	4.49206e+14
1.0536	4.52143e+14
1.0537	4.5509e+14
1.0538	4.58047e+14
1.0539	4.61014e+14
1.054	4.63991e+14
1.0541	4.66977e+14
1.0542	4.69974e+14
1.0543	4.7298e+14
1.0544	4.75996e+14
1.0545	4.79023e+14
1.0546	4.82059e+14
1.0547	4.85105e+14
1.0548	4.8816e+14
1.0549	4.91226e+14
1.055	4.94302e+14
1.0551	4.97387e+14
1.0552	5.00483e+14
1.0553	5.03588e+14
1.0554	5.06703e+14
1.0555	5.09828e+14
1.0556	5.12963e+14
1.0557	5.16108e+14
1.0558	5.19262e+14
1.0559	5.22427e+14
1.056	5.25601e+14
1.0561	5.28786e+14
1.0562	5.3198e+14
1.0563	5.35184e+14
1.0564	5.38398e+14
1.0565	5.41622e+14
1.0566	5.44646e+14
1.0567	5.47672e+14
1.0568	5.50698e+14
1.0569	5.53726e+14
1.057	5.56754e+14
1.0571	5.59784e+14
1.0572	5.62815e+14
1.0573	5.65846e+14
